News #|Time Spent (s)
1|4.699441909790039
2|2.539417266845703
3|5.624292373657227
4|14.863797664642334
5|4.593270301818848
6|5.555304288864136
7|11.505373477935791
8|7.6026611328125
9|7.983002662658691
10|8.270484209060669
11|6.2521162033081055
12|14.122820615768433
13|5.6798319816589355
14|5.4799981117248535
15|8.338630676269531
16|8.4634428024292
17|6.189712047576904
18|4.9337053298950195
19|5.403579235076904
20|8.93759822845459
21|9.086324453353882
22|4.623111009597778
23|6.83471941947937
24|3.8978288173675537
25|3.390425205230713
26|4.080282926559448
27|3.7865819931030273
28|3.233229398727417
29|4.129283666610718
30|2.963717222213745
31|3.7531580924987793
32|3.1209559440612793
33|3.260328769683838
34|3.949021816253662
35|4.747338056564331
36|3.9849112033843994
37|3.6170990467071533
38|5.539361953735352
39|6.932482004165649
40|6.4937214851379395
41|5.941877603530884
42|7.527544260025024
43|5.271905899047852
44|2.7177376747131348
45|7.520441770553589
46|5.413700103759766
47|8.272016048431396
48|12.826695442199707
49|7.38723087310791
50|10.063904047012329
