News #|Total time Spent (s)
1|0.0010957717895507812
2|0.0011250972747802734
3|0.003895998001098633
4|0.001287221908569336
5|0.0011067390441894531
6|0.001195669174194336
7|0.0011343955993652344
8|0.0011012554168701172
9|0.0011823177337646484
10|0.001168966293334961
11|0.001232147216796875
12|0.001192331314086914
13|0.0010938644409179688
14|0.00393366813659668
15|0.0010836124420166016
16|0.0012543201446533203
17|0.0011153221130371094
18|0.0011529922485351562
19|0.0010766983032226562
20|0.0011489391326904297
21|0.0011594295501708984
22|0.0011992454528808594
23|0.0011823177337646484
24|0.001138925552368164
25|0.003832578659057617
26|0.0011909008026123047
27|0.0010879039764404297
28|0.001088857650756836
29|0.0011036396026611328
30|0.0011172294616699219
31|0.0011332035064697266
32|0.001177072525024414
33|0.0010874271392822266
34|0.0011010169982910156
35|0.0010905265808105469
36|0.0011830329895019531
37|0.001092672348022461
38|0.0010747909545898438
39|0.001188039779663086
40|0.0011665821075439453
41|0.0011675357818603516
42|0.0011138916015625
43|0.0011684894561767578
44|0.0010905265808105469
45|0.0011358261108398438
46|0.0011141300201416016
47|0.0011060237884521484
48|0.0011172294616699219
49|0.0011241436004638672
50|0.0012383460998535156
51|0.0011665821075439453
52|0.0038754940032958984
53|0.0011951923370361328
54|0.0011475086212158203
55|0.0011746883392333984
56|0.0011374950408935547
57|0.0011050701141357422
58|0.0011570453643798828
59|0.001062631607055664
60|0.004710197448730469
61|0.0011222362518310547
62|0.0011425018310546875
63|0.0010614395141601562
64|0.0011074542999267578
65|0.0011708736419677734
66|0.0012233257293701172
67|0.0045969486236572266
68|0.001111745834350586
69|0.0011091232299804688
70|0.0011768341064453125
71|0.0010762214660644531
72|0.001093149185180664
73|0.001306772232055664
74|0.0011818408966064453
75|0.0011131763458251953
76|0.0011456012725830078
77|0.001119375228881836
78|0.0011494159698486328
79|0.0010602474212646484
80|0.0010793209075927734
81|0.0011019706726074219
82|0.001123189926147461
83|0.0011987686157226562
84|0.0011334419250488281
85|0.0038979053497314453
86|0.0011129379272460938
87|0.0011775493621826172
88|0.0011382102966308594
89|0.0011260509490966797
90|0.0011246204376220703
91|0.0011377334594726562
92|0.0012619495391845703
93|0.001102447509765625
94|0.0010874271392822266
95|0.0011718273162841797
96|0.0010578632354736328
97|0.003856182098388672
98|0.001064300537109375
99|0.0011005401611328125
100|0.0011172294616699219
